trial,img,earlyResp,earlyLatency,resp,latency,lateResp,lateLatency
0,079a.jpg,,,1,0.599105893,,
1,082a.jpg,3,1.32112903,3,0.232798263,,
2,083a.jpg,,,1,0.970204514,,
3,090a.jpg,,,1,0.787634204,,
4,098a.jpg,,,1,1.766955511,1,0.172782064
5,099a.jpg,,,2,1.08436834,,
6,102a.jpg,2,2.856512443,1,1.968556344,,
7,103a.jpg,3,2.52776825,1,2.23242945,,
8,105a.jpg,,,1,0.760703949,2,0.14974626
9,113a.jpg,,,1,0.434876395,,
10,115a.jpg,,,1,1.707150106,,
11,117a.jpg,,,4,1.001718335,,
12,121a.jpg,3,1.14791047,1,1.291439711,,
13,122a.jpg,,,1,0.332091442,,
14,125a.jpg,,,2,0.422604502,,
15,126a.jpg,,,1,2.933042271,,
16,127a.jpg,2,0.004107303,4,2.150940778,,
17,130a.jpg,,,1,0.446436901,,
18,131a.jpg,,,1,0.372035175,,
19,136a.jpg,,,1,0.437167056,,
20,142a.jpg,,,1,0.484583896,,
21,145a.jpg,,,1,0.545702159,,
22,158a.jpg,,,1,1.555157816,,
23,059b.jpg,,,4,0.420643846,,
24,063b.jpg,,,4,0.745528581,,
25,068b.jpg,,,4,0.552087375,,
26,070b.jpg,,,4,2.348272895,,
27,087b.jpg,,,4,0.374574041,,
28,091b.jpg,,,4,0.555748725,,
29,092b.jpg,,,4,0.203051623,,
30,095b.jpg,3,1.798481809,4,1.36482403,,
31,097b.jpg,,,4,0.479284599,,
32,100b.jpg,,,4,1.271784842,,
33,104b.jpg,,,1,1.533725248,,
34,107b.jpg,,,1,1.157963562,,
0,108b.jpg,,,4,0.686537257,1,0.2220169
1,109b.jpg,,,1,0.700200563,,
2,112b.jpg,,,4,0.26700539,,
3,124b.jpg,,,4,0.978785127,,
4,129b.jpg,,,1,0.38884743,,
5,133b.jpg,,,1,2.034750585,3,0.60191439
6,134b.jpg,,,1,0.344190418,,
7,135b.jpg,,,1,2.670701141,,
8,139b.jpg,4,1.38084534,4,,,
9,141b.jpg,4,1.912868981,1,0.51080354,,
10,144b.jpg,,,3,0.45168124,,
11,foil_1201.jpg,4,2.330945196,4,1.808798503,,
12,foil_1202.jpg,,,4,1.294278555,,
13,foil_1203.jpg,,,4,2.217263228,,
14,foil_1204.jpg,4,1.84908866,4,1.543449521,,
15,091a.jpg,2,0.59958144,1,,,
16,107a.jpg,3,0.204091986,1,1.906338066,,
17,108a.jpg,,,1,0.583105499,,
18,123a.jpg,,,1,,,
19,124a.jpg,3,1.378660376,1,0.673934045,2,0.896853443
20,128a.jpg,,,1,1.022625707,,
21,129a.jpg,1,0.388419874,2,0.899675009,,
22,133a.jpg,,,1,0.479033123,,
